participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
24,branch_RTSE1,dualbranch,event,left,top,short,2.0,RD_ID
24,branch_RTME1,dualbranch,event,left,top,medium,2.0,RD
24,chain_RS,chain,,left,,short,,RC_IC
24,branch_RTSS,dualbranch,state,left,top,short,,RD_ID
24,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,RD
25,branch_RTLE3,dualbranch,event,left,top,long,6.0,RC
25,branch_RTSE1,dualbranch,event,left,bottom,short,2.0,RC_IC
25,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RC
25,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,RC
25,branch_RTME3,dualbranch,event,left,top,medium,6.0,RC
25,branch_RTSS,dualbranch,state,left,top,short,,RC_IC
25,branch_RTLS,dualbranch,state,left,bottom,long,,RC
25,branch_RTSE3,dualbranch,event,left,top,short,6.0,RC_IC
25,branch_RTLE1,dualbranch,event,left,top,long,2.0,RC
25,chain_RL,chain,,left,,long,,RC
25,chain_RM,chain,,left,,medium,,RC
25,chain_RS,chain,,left,,short,,RC_IC
25,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RC_IC
25,branch_RTMS,dualbranch,state,left,bottom,medium,,RC
25,branch_RTME2,dualbranch,event,left,top,medium,4.0,RC
26,branch_RTLE3,dualbranch,event,right,top,long,6.0,RC
26,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
26,chain_RM,chain,,right,,medium,,RC
26,branch_RTME1,dualbranch,event,right,top,medium,2.0,RC
26,chain_RS,chain,,right,,short,,RC_IC
26,branch_RTLS,dualbranch,state,right,top,long,,RC
26,branch_RTSE1,dualbranch,event,right,top,short,2.0,RC_IC
26,branch_RTMS,dualbranch,state,right,bottom,medium,,RC
26,branch_RTSS,dualbranch,state,right,top,short,,RC_IC
26,branch_RTME2,dualbranch,event,right,top,medium,4.0,RC
26,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
26,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
26,chain_RL,chain,,right,,long,,RC
26,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,RC
26,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,RC
27,branch_RTLE2,dualbranch,event,left,top,long,4.0,IC
27,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,IC
27,branch_RTSS,dualbranch,state,left,bottom,short,,RC_IC
27,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,IC
27,branch_RTLS,dualbranch,state,left,top,long,,IC
27,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,IC
27,chain_RS,chain,,left,,short,,RC_IC
27,branch_RTSE2,dualbranch,event,left,top,short,4.0,RC_IC
27,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RC_IC
27,chain_RM,chain,,left,,medium,,IC
27,branch_RTMS,dualbranch,state,left,bottom,medium,,IC
27,branch_RTSE1,dualbranch,event,left,top,short,2.0,RC_IC
27,branch_RTME2,dualbranch,event,left,top,medium,4.0,IC
27,branch_RTLE3,dualbranch,event,left,top,long,6.0,IC
27,chain_RL,chain,,left,,long,,IC
28,branch_RTMS,dualbranch,state,left,bottom,medium,,otherC
